Name,lat,lon,Height,x,y
Landing Pad,54.69099324,37.98506974,200,286094.08,799631.75
Lift/Descent,54.69099324,37.98506974,231,286094.08,799631.75
View point 1,54.68965562,37.98623223,231,286170.22770890343,799483.4470368555
View point 2,54.68962010,37.98592130,231,286150.20856026735,799479.3344976521
View point 3,54.68962010,37.98592130,240,286150.20856026735,799479.3344976521
View point 4,54.68965562,37.98623223,240,286170.22770890343,799483.447036855
